MCP,Date
1900.61,1
1670.24,2
1900.54,3
1900.46,4
1504.36,5
1500.91,6
1499.84,7
1499.56,8
1501.25,9
1500.61,10
599.52,11
599.28,12
796.66,13
796.72,14
1006.24,15
1006.35,16
1849.76,17
1849.78,18
1934.95,19
1979.36,20
2004.26,21
2048.84,22
2483.09,23
2504.16,24
2508.35,25
2596.27,26
2599.13,27
2585.65,28
2541.67,29
2499.83,30
2449.12,31
2392.84,32
2399.72,33
2399.97,34
2339.8,35
2400.08,36
2599.2,37
2599.2,38
2397.6,39
2366.72,40
2157.18,41
2121.25,42
2004.61,43
2004.69,44
2004.19,45
2004.22,46
2004.03,47
1849.85,48
749.29,49
749.5,50
900.61,51
900.66,52
199.96,53
1199.09,54
1199.07,55
1199.09,56
1499.17,57
1499.21,58
1199.85,59
1199.85,60
1199.4,61
1199.99,62
1199.49,63
1199.51,64
1499.35,65
1400.66,66
2002.22,67
2001.32,68
199.9,69
199.9,70
1479.56,71
1479.56,72
1499.77,73
2104.27,74
2500.35,75
2500.44,76
2799.37,77
2844.5,78
3220.75,79
3251.07,80
3602.74,81
3603.41,82
3599.01,83
3599.15,84
3729.28,85
3729.36,86
3299.18,87
3299.4,88
3299.59,89
3299.59,90
3299.32,91
3299.34,92
3099.54,93
3099.06,94
2799.66,95
3078.07,96
2000.47,97
2200.82,98
2299.38,99
2389.5,100
1920.73,101
1670.44,102
1950.73,103
1849.96,104
2299.25,105
2149.41,106
1849.9,107
2149.58,108
1849.75,109
1849.54,110
1849.16,111
1849.13,112
1849.31,113
1849.34,114
1849.8,115
1849.62,116
1849.73,117
1989.35,118
1849.38,119
1849.45,120
1849.12,121
1849.66,122
1849.91,123
2000.18,124
2200.29,125
2200.55,126
2149.92,127
1849.83,128
1849.53,129
1849.46,130
1849.02,131
1499.91,132
1849.11,133
1599.46,134
1199.4,135
1199.11,136
1300.05,137
1300.17,138
1200.78,139
1200.71,140
1199.6,141
1199.41,142
1199.48,143
1199.5,144
1199.37,145
1199.39,146
1199.33,147
1199.33,148
1199.82,149
1199.98,150
1400.38,151
1400.59,152
1199.91,153
1199.91,154
1199.85,155
1199.85,156
1199.94,157
1300.5,158
1630.39,159
1499.84,160
1849.58,161
1849.61,162
1849.75,163
1849.77,164
1849.66,165
1849.46,166
1499.83,167
1120.18,168
1849.29,169
1849.1,170
1849.41,171
1849.5,172
1849.77,173
1849.9,174
1849.24,175
1849.24,176
2220.33,177
2220.06,178
1849.82,179
1849.81,180
1849.53,181
1849.67,182
1849.24,183
1849.29,184
1849.81,185
1849.98,186
1849.96,187
1849.96,188
1849.97,189
1849.89,190
1849.9,191
1849.89,192
2500.19,193
2299.26,194
2399.72,195
2379.45,196
2250.34,197
2250.16,198
2003.92,199
2005.07,200
1849.64,201
1870.4,202
1850.69,203
1852.55,204
1853.07,205
1851.1,206
1670.72,207
1800.59,208
1800.52,209
1800.27,210
1499.72,211
1670.93,212
1849.21,213
1849.5,214
2100.09,215
1900.51,216
2250.52,217
2251.37,218
2200.76,219
2200.7,220
1849.85,221
1849.79,222
1849.8,223
1849.83,224
2003.12,225
2005.03,226
2507.09,227
2508.56,228
2799.54,229
2799.53,230
2799.71,231
2799.72,232
2599.22,233
2550.9,234
2499.02,235
2499.09,236
2499.15,237
2499.14,238
2257.2,239
2256.47,240
2257.28,241
2257.26,242
2490.11,243
2500.25,244
2599.35,245
2599.99,246
2624,247
2616.52,248
2740.02,249
2740.45,250
2740.81,251
2850.26,252
2850.6,253
2850.7,254
2850.23,255
2838.05,256
2844.17,257
2999.1,258
3139.06,259
2850.38,260
2660.99,261
2699.01,262
2650.5,263
2660.07,264
2549.47,265
2609.76,266
2499.61,267
2574.43,268
3220.81,269
3000.61,270
3249.55,271
3299.28,272
3500.19,273
3299.9,274
3677.8,275
3736.83,276
3888.55,277
4000.27,278
3977.76,279
3977.88,280
4000.37,281
4000.56,282
4000.15,283
4000.04,284
3736.47,285
3888.36,286
3736.88,287
3736.02,288
3299.57,289
3299.52,290
2749.75,291
2854.79,292
2739.42,293
2739.6,294
2649.96,295
2659.08,296
2599.21,297
2489.7,298
2259.08,299
2259.55,300
